GEOID,STATEFP,COUNTYFP,TRACTCE,Proximity_PCA1,Proximity_PCA2,stnd_Proximity_PCA1,stnd_Proximity_PCA2
37119005622,37,119,5622,0.869131512,-0.235828832,121.7282878,94.10427921
37119005623,37,119,5623,0.745075693,-0.2856913,118.6268923,92.85771749
37119005624,37,119,5624,0.21662792,-0.82527538,105.415698,79.3681155
37119005625,37,119,5625,-0.115011799,-1.038781361,97.12470503,74.03046597
37119005626,37,119,5626,-0.233005437,-0.7560839,94.17486407,81.0979025
37119005627,37,119,5627,-0.19558617,-0.94812156,95.11034575,76.296961
37119005709,37,119,5709,0.771872999,-0.22263808,119.296825,94.434048
37119005710,37,119,5710,0.075558546,-0.753577732,101.8889636,81.1605567
37119005712,37,119,5712,-0.070097846,-0.640959111,98.24755385,83.97602223
37119005713,37,119,5713,-0.466590456,-0.947704466,88.33523861,76.30738836
37119005714,37,119,5714,-0.610309491,-1.137488094,84.74226273,71.56279766
37119005716,37,119,5716,0.292240065,-0.664679741,107.3060016,83.38300648
37119005718,37,119,5718,-0.114581615,-0.784850773,97.13545964,80.37873067
37119005719,37,119,5719,-0.147532369,-0.489815909,96.31169077,87.75460227
37119005720,37,119,5720,-0.076997061,-0.713549912,98.07507347,82.16125221
37119005721,37,119,5721,-0.022344533,-0.72088971,99.44138667,81.97775725
37119005722,37,119,5722,0.081994398,-0.879391524,102.0498599,78.0152119
37119005723,37,119,5723,0.282713634,-0.618107796,107.0678408,84.54730511
37119005811,37,119,5811,0.324668534,-0.522978987,108.1167134,86.92552532
37119005815,37,119,5815,0.021075349,-0.386342074,100.5268837,90.34144816
37119005816,37,119,5816,0.157196497,-0.372165038,103.9299124,90.69587404
37119005817,37,119,5817,-0.269347984,-0.773772273,93.26630041,80.65569316
37119005824,37,119,5824,0.253555652,-0.396355553,106.3388913,90.09111118
37119005826,37,119,5826,0.801264518,-0.032510301,120.031613,99.18724247
37119005827,37,119,5827,0.768779472,-0.12552751,119.2194868,96.86181226
37119005828,37,119,5828,0.573428923,-0.317672124,114.3357231,92.0581969
37119005829,37,119,5829,1.040579638,0.000584218,126.0144909,100.0146054
37119005830,37,119,5830,0.459405984,-0.356889396,111.4851496,91.07776509
37119005832,37,119,5832,0.014171807,-0.659677078,100.3542952,83.50807304
37119005833,37,119,5833,0.259796661,-0.571158025,106.4949165,85.72104937
37119005834,37,119,5834,0.678415284,-0.353522199,116.9603821,91.16194503
37119005835,37,119,5835,0.243672029,-0.575681402,106.0918007,85.60796494
37119005836,37,119,5836,-0.545073022,-0.794321464,86.37317444,80.1419634
37119005839,37,119,5839,0.386492295,-0.14240438,109.6623074,96.4398905
37119005840,37,119,5840,0.116048166,-0.494041531,102.9012041,87.64896172
37119005843,37,119,5843,-0.231582406,-0.526803964,94.21043985,86.82990091
37119005845,37,119,5845,-0.384421404,-0.727920129,90.3894649,81.80199677
37119005846,37,119,5846,-0.567738275,-0.883357479,85.80654314,77.91606303
37119005847,37,119,5847,-0.304069366,-0.769148565,92.39826584,80.77128588
37119005848,37,119,5848,-0.202452056,-0.831739717,94.93869861,79.20650708
37119005849,37,119,5849,0.005935389,-0.741084104,100.1483847,81.47289741
37119005851,37,119,5851,-0.608797882,-1.013346387,84.78005296,74.66634032
37119005852,37,119,5852,0.255564549,-0.406060121,106.3891137,89.84849698
37119005853,37,119,5853,1.010203843,0.23472763,125.2550961,105.8681907
37119005854,37,119,5854,0.11702493,-0.037439365,102.9256232,99.06401588
37119005855,37,119,5855,-0.063741169,-0.279022958,98.40647077,93.02442605
37119005856,37,119,5856,-0.582360431,-0.714847726,85.44098922,82.12880685
37119005857,37,119,5857,-0.689107676,-0.992383558,82.77230809,75.19041106
37119005858,37,119,5858,-0.780487616,-0.921589357,80.4878096,76.96026609
37119005859,37,119,5859,0.070397584,-0.49957809,101.7599396,87.51054775
37119005860,37,119,5860,-0.133489324,-0.272018885,96.6627669,93.19952788
37119005861,37,119,5861,-0.009638804,-0.567024025,99.75902991,85.82439937
37119005862,37,119,5862,-0.099144018,-0.293246387,97.52139955,92.66884033
37119005863,37,119,5863,-0.92444777,-1.253839063,76.88880576,68.65402343
37119005864,37,119,5864,-0.758551835,-1.013837618,81.03620413,74.65405955
37119005865,37,119,5865,0.746557389,0.211218551,118.6639347,105.2804638
37119005866,37,119,5866,0.566383485,-0.404759626,114.1595871,89.88100936
37119005867,37,119,5867,0.574839169,0.101957405,114.3709792,102.5489351
37119005868,37,119,5868,0.519111044,-0.064263334,112.9777761,98.39341664
37119005910,37,119,5910,0.197162553,-0.506859499,104.9290638,87.32851251
37119005913,37,119,5913,0.504627499,0.010975517,112.6156875,100.2743879
