GEOID,STATEFP,COUNTYFP,TRACTCE,Diversity_PCA1,Diversity_PCA2,stnd_Diversity_PCA1,stnd_Diversity_PCA2
37025041304,37,25,41304,0.443721766,-0.883308087,111.0930441,77.91729783
37025041307,37,25,41307,0.549623871,-1.2902961,113.7405968,67.74259751
37025041504,37,25,41504,1.435318409,-1.666092864,135.8829602,58.3476784
37025041505,37,25,41505,0.798840422,-1.570435422,119.9710106,60.73911446
37025041901,37,25,41901,-0.365320581,-1.540176325,90.86698549,61.49559188
37025041902,37,25,41902,-1.213899104,-0.48014264,69.65252241,87.99643399
37025042000,37,25,42000,0.273089276,-0.565160294,106.8272319,85.87099265
37025042101,37,25,42101,-0.58629248,-1.610814133,85.34268799,59.72964668
37025042102,37,25,42102,0.435922924,-1.488379999,110.8980731,62.79050002
37025042201,37,25,42201,0.189417397,0.540162822,104.7354349,113.5040706
37025042202,37,25,42202,1.387591423,-0.931244736,134.6897856,76.7188816
37025042300,37,25,42300,-0.498899033,0.557497788,87.52752418,113.9374447
37025042401,37,25,42401,0.513235632,0.193987991,112.8308908,104.8496998
37025042402,37,25,42402,-0.83112527,0.575550765,79.22186824,114.3887691
37025042501,37,25,42501,0.313710931,1.120438193,107.8427733,128.0109548
37025042502,37,25,42502,-0.143418008,0.410763611,96.41454981,110.2690903
37025042503,37,25,42503,0.358920754,-0.484112233,108.9730188,87.89719419
37025042504,37,25,42504,1.433049002,0.286550323,135.8262251,107.1637581
37025042601,37,25,42601,0.787980281,-0.585638187,119.699507,85.35904533
37025042602,37,25,42602,-0.571991212,0.013063108,85.70021971,100.3265777
37025042603,37,25,42603,0.4385927,0.024158945,110.9648175,100.6039736
37025042604,37,25,42604,0.527659059,0.134055551,113.1914765,103.3513888
37027030100,37,27,30100,-0.771516899,0.398050288,80.71207751,109.9512572
37027030300,37,27,30300,0.740366255,-0.244326525,118.5091564,93.89183688
37027030400,37,27,30400,0.408945084,0.977068725,110.2236271,124.4267181
37027030600,37,27,30600,1.662300213,0.432071194,141.5575053,110.8017799
37027030700,37,27,30700,1.174519556,1.387169056,129.3629889,134.6792264
37027030801,37,27,30801,1.882383146,0.873568899,147.0595787,121.8392225
37027031403,37,27,31403,0.64611411,1.228258856,116.1528528,130.7064714
37031970304,37,31,970304,0.909852399,1.807837754,122.74631,145.1959439
37031970401,37,31,970401,-0.895764926,1.902736773,77.60587684,147.5684193
37031970403,37,31,970403,1.236240114,0.475841591,130.9060029,111.8960398
37031970503,37,31,970503,0.418787751,0.355936839,110.4696938,108.898421
37031970601,37,31,970601,0.807023983,0.501185386,120.1755996,112.5296346
37031970602,37,31,970602,1.933521654,-1.43262592,148.3380414,64.184352
37031970603,37,31,970603,1.196753828,1.179985273,129.9188457,129.4996318
37031970606,37,31,970606,0.943136803,1.183946007,123.5784201,129.5986502
37031970703,37,31,970703,0.743518252,0.319945968,118.5879563,107.9986492
37031970903,37,31,970903,0.872679382,0.637436036,121.8169845,115.9359009
37031970904,37,31,970904,0.916758463,2.385840465,122.9189616,159.6460116
37031971003,37,31,971003,1.121481529,2.789966762,128.0370382,169.7491691
37035010102,37,35,10102,0.781107535,0.809108688,119.5276884,120.2277172
37035010201,37,35,10201,1.163355734,0.783131518,129.0838934,119.578288
37035010204,37,35,10204,-0.224429216,0.750504668,94.38926959,118.7626167
37035010301,37,35,10301,1.111148416,0.054329668,127.7787104,101.3582417
37035010302,37,35,10302,0.848964988,1.195120219,121.2241247,129.8780055
37035010303,37,35,10303,0.172847974,0.122585304,104.3211993,103.0646326
37035010304,37,35,10304,-0.258392884,0.577856881,93.54017791,114.446422
37035010402,37,35,10402,-1.120183639,1.154546539,71.99540903,128.8636635
37035010403,37,35,10403,-0.435007141,1.688522296,89.12482149,142.2130574
37035010404,37,35,10404,-0.406429596,1.362835071,89.83926011,134.0708768
37035010501,37,35,10501,-0.086109603,0.788347581,97.84725993,119.7086895
37035010502,37,35,10502,1.408560363,0.231076048,135.2140091,105.7769012
37035010600,37,35,10600,-0.75412287,0.521125227,81.14692826,113.0281307
37035010700,37,35,10700,-1.002672464,0.314839005,74.93318839,107.8709751
37035010900,37,35,10900,-1.247889947,-0.826559624,68.80275132,79.33600941
37035011000,37,35,11000,-1.108790694,-0.021561752,72.28023266,99.4609562
37035011102,37,35,11102,0.621661759,0.877541047,115.541544,121.9385262
37035011200,37,35,11200,0.139228098,-0.026119176,103.4807024,99.3470206
37035011300,37,35,11300,0.324528007,0.254506127,108.1132002,106.3626532
37035011506,37,35,11506,1.54328192,1.104961718,138.582048,127.624043
37037020402,37,37,20402,-0.129373421,0.004643873,96.76566446,100.1160968
37045950400,37,45,950400,0.66401454,-0.15618423,116.6003635,96.09539426
37045950701,37,45,950701,0.655109846,-0.22225842,116.3777462,94.44353951
37045950702,37,45,950702,0.146306135,0.194705524,103.6576534,104.8676381
37045950800,37,45,950800,0.927697624,0.197810551,123.1924406,104.9452638
37045950900,37,45,950900,-0.330409597,-0.661123604,91.73976006,83.47190991
37045951000,37,45,951000,-0.156299474,-0.849808075,96.09251315,78.75479812
37045951100,37,45,951100,-0.557058556,-0.155325428,86.07353609,96.1168643
37045951200,37,45,951200,0.304584347,0.036479562,107.6146087,100.9119891
37049960402,37,49,960402,-0.103305063,-0.658127345,97.41737343,83.54681637
37049960403,37,49,960403,2.211115512,-0.320930408,155.2778878,91.9767398
37049960502,37,49,960502,-0.040800866,1.061770156,98.97997836,126.5442539
37049960600,37,49,960600,-0.799294061,-0.07718756,80.01764846,98.07031099
37049960700,37,49,960700,-0.02787642,-0.548278643,99.30308949,86.29303392
37049960800,37,49,960800,-0.983687253,-0.676373963,75.40781867,83.09065093
37049960900,37,49,960900,-0.980117265,0.556658808,75.49706838,113.9164702
37049961002,37,49,961002,1.235298881,0.29113855,130.882472,107.2784638
37049961003,37,49,961003,1.406296395,-0.432333354,135.1574099,89.19166615
37049961101,37,49,961101,1.902908874,-0.609693145,147.5727218,84.75767138
37049961202,37,49,961202,0.516550683,0.940142744,112.9137671,123.5035686
37051000200,37,51,200,-1.602950479,-0.07044521,59.92623803,98.23886976
37051000500,37,51,500,-0.363871344,-1.531158151,90.9032164,61.72104624
37051000600,37,51,600,-1.220131724,-0.152125389,69.49670691,96.19686527
37051000701,37,51,701,-0.01273529,-0.159611111,99.68161774,96.00972223
37051000702,37,51,702,0.215580168,-0.980038897,105.3895042,75.49902757
37051000800,37,51,800,-1.274026833,0.672884771,68.14932918,116.8221193
37051000900,37,51,900,-0.386016465,-0.040269886,90.34958838,98.99325285
37051001000,37,51,1000,-1.185906116,-0.341938997,70.3523471,91.45152507
37051001100,37,51,1100,-0.4804124,-2.57839115,87.98969001,35.54022126
37051001200,37,51,1200,-0.77097935,-0.087580543,80.72551625,97.81048642
37051001402,37,51,1402,-0.582508505,0.14742599,85.43728739,103.6856498
37051001500,37,51,1500,0.409597597,-0.204623274,110.2399399,94.88441815
37051001603,37,51,1603,-0.437173685,-0.509132701,89.07065789,87.27168248
37051001604,37,51,1604,-1.014268165,-0.096311658,74.64329587,97.59220855
37051001605,37,51,1605,-0.509072769,-0.132336412,87.27318077,96.6915897
37051001606,37,51,1606,-0.300674577,-0.243785576,92.48313558,93.90536061
