GEOID,STATEFP,COUNTYFP,TRACTCE,ParksRec_PerSqMi,TransitStops_PerSqMi,RedlinedAreas_PerSqMi,Brownfields_PerSqMi,Colleges_PerSqMi,MedFacilities_PerSqMi,GroceryStores_PerSqMi,Gas_Stations_PerSqMi,HazWasteFacilit_PerSqMi,Hospitals_PerSqMi,NPDES_PerSqMi,Fire_Stations_PerSqMi,Pharmacies_PerSqMi,Nursing_Homes_PerSqMi,PubLibraries_PerSqMi,PubSchools_PerSqMi,RegUndergStorage_PerSqMi,Jobs_PerSqMi,Pct_Commute_LessThan15Mins,NEAR_REC,NEAR_BRWN,NEAR_HAZ,NEAR_GROC,NEAR_RED,NEAR_MED,NEAR_HOSPITALS,NEAR_LIBRARY,NEAR_INTST,Percent_Impervious,IsoIndex_BW_2020,SimpsonIndex_DivHouseStock,Pct_Pop_hasAccessFiber,Percent_Pop_NoProvider,Interstate_Present,Transit_Route_Indicator,Overall_SelfRespRate,STREETCON
37119003108,37,119,3108,3.294892916,0,0,0,0,1.647446458,6.589785832,4.942339374,1.647446458,0,0,0,1.647446458,0,0,0,11.53212521,784.184514,22.14,0.003598997,0.014379116,0.008073279,0.005039592,0.06647165,0.005769417,0.018919672,0.044418498,0.219351061,66.66666865,0.203447551,0.720459524,61.85710314,0,0,0,52.9,0
37119003109,37,119,3109,0,0,0,0,0,0,10.23890785,6.825938567,0,0,0,0,0,0,0,0,27.30375427,1013.651877,18.66,0.012261201,0.019519094,0.005583763,0.00530944,0.07631654,0.004451906,0.019822921,0.039364292,0.229180527,92.17687249,0.140753688,0.648944285,99.77189781,0,0,0,45.8,0
37119003110,37,119,3110,2.5,0,0,1.25,0,0,5,2.5,5,0,0,1.25,2.5,0,0,2.5,20,2001.25,24.43,0.01278964,0.009790936,0.007497835,0.007929645,0.033592726,0.009428909,0.046249685,0.020790639,0.188593487,67.5347209,0.717725108,0.285001894,97.71929825,0,0,0,81.7,0
37119003111,37,119,3111,0,0,0,0,0,9.395973154,2.684563758,1.342281879,0,0,0,0,1.342281879,0,0,0,28.18791946,5602.684564,20.55,0.013602636,0.024101228,0.011587806,0.00572613,0.028658243,0.003912933,0.035088498,0.029155899,0.181588041,63.4624362,0.692910914,0.69840356,97.71929825,0,0,0,59,0
37119003201,37,119,3201,1.347708895,0,0,1.347708895,0,4.043126685,1.347708895,4.043126685,4.043126685,0,0,0,0,0,1.347708895,1.347708895,20.21563342,1985.175202,35.47,0.002890836,0.005100826,0.003888854,0.00373765,0.018767438,0.002248668,0.03868581,0.005670347,0.179028038,79.19588685,0.307253043,0.382779051,98.73729597,0,0,0,64.3,0
37119003203,37,119,3203,0,0,0,0,0,0,0,2.298850575,0,0,0,0,0,0,0,0,9.195402299,404.5977012,19.96,0.009451711,0.014522959,0.012451342,0.012550777,0.025349488,0.00754819,0.036005309,0.016731389,0.178296264,54.49438095,0.485025844,0.657787869,99.96309963,0,0,0,61,0
37119003204,37,119,3204,0,0,0,0,0,11.17318436,3.351955307,2.234636872,1.117318436,0,0,0,1.117318436,1.117318436,0,2.234636872,27.93296089,2729.608939,31.9,0.007576039,0.021389331,0.005962962,0.007425549,0.019345763,0.002340657,0.02648669,0.022728854,0.16881844,66.22772813,0.709820876,0.712779692,99.17870292,0,0,0,74.7,0
37119003301,37,119,3301,4.878048781,0,4.878048781,0,0,0,9.756097561,4.878048781,0,0,0,0,4.878048781,0,0,0,39.02439024,2624.390244,23.58,0.004600814,0.006414852,0.00481652,0.004198637,0.005417541,0.005845941,0.0245861,0.016480528,0.162063508,60.74450016,0.716014116,0.703026666,66.03826674,0,0,0,59.3,0
37119003302,37,119,3302,3.539823009,0,0,1.769911504,0,0,1.769911504,1.769911504,0,0,0,0,1.769911504,0,0,1.769911504,33.62831858,812.3893805,44.9,0.004888442,0.014245987,0.01387301,0.008323023,0.009066943,0.005996012,0.021237695,0.019391946,0.162503745,64.40886855,0.615040566,0.644543589,66.03826674,0,0,0,76.2,0
37119003401,37,119,3401,0,0,10.94890511,3.649635037,0,0,10.94890511,0,7.299270073,0,0,0,7.299270073,0,0,0,40.1459854,6551.094891,33.43,0.00420416,0.005158347,0.003825671,0.00431005,0.004724111,0.007591163,0.020468818,0.021673971,0.156836011,86.83544397,0.789608828,0.623988578,92.22807678,0,0,0,60.7,0
37119003402,37,119,3402,4.662004662,0,5.827505828,0,0,4.662004662,2.331002331,2.331002331,1.165501166,0,0,1.165501166,1.165501166,0,0,0,46.62004662,3674.825175,36.87,0.008709052,0.015369309,0.010384321,0.002837618,0.003327044,0.002025342,0.012042037,0.021246108,0.152987127,62.38973737,0.824374746,0.579806809,92.22807678,0,0,0,79.6,0
37119003500,37,119,3500,1.490312966,0,7.451564829,0,1.490312966,4.470938897,2.980625931,1.490312966,2.980625931,2.980625931,0,0,8.941877794,0,0,1.490312966,46.19970194,30698.95678,54.81,0.00678142,0.011328663,0.006114667,0.004995929,0.002094897,0.004388588,0.007700095,0.020527971,0.144050671,74.09514189,0.795233088,0.705661209,91.28356013,0,0,0,70.7,0
37119003600,37,119,3600,6.233303651,0,1.7809439,10.6856634,0,1.7809439,3.561887801,0,1.7809439,0,0,0,0,0,0,0,16.91896705,2807.658059,35.48,0.00147164,0.004213856,0.005944704,0.008963673,0.003699131,0.005402174,0.035781588,0.023941339,0.158362899,73.90229106,0.246678366,0.650261564,95.24435103,0,1,0,60.5,0.285714299
37119003701,37,119,3701,0,0,8.368200837,16.73640167,0,0,8.368200837,4.184100418,8.368200837,0,0,0,0,0,0,0,54.39330544,4899.58159,35.76,0.007627161,0.001667906,0.001169398,0.00076575,0.001539613,0.004253925,0.028983432,0.021126842,0.159371147,99.41860437,0.161448861,0.61477204,23.55982275,0,0,0,55.8,0
37119003702,37,119,3702,1.340482574,0,1.340482574,8.042895442,0,5.361930295,4.021447721,4.021447721,0,0,0,0,0,0,0,1.340482574,20.10723861,5490.616622,31.65,0.004769352,0.001157114,0.007773509,0.005618449,0.004605026,0.005108209,0.037502837,0.01424738,0.169448821,68.51938367,0.043250523,0.625919276,23.55982275,0,1,0,67.3,0.333333343
